Source Term	Target Term
ignition loss	pérdida por calcinación
restricted substance	sustancia restringida
plate column	columna de bandejas
fluorspar	fluorita
supercritical fluid chromatography	SFC
sulfurous hydrocarbon	hidrocarburo sulfurado
hexahydropyridine	piperidina
backwashing liquid	líquido de retrolavado
polysaccharide	polisacárido
porcelainite	mullita
measurand	mensurando
low-purity nitrogen	nitrógeno de baja pureza
anion exchange membrane water electrolysis	electrólisis por membrana de intercambio aniónico
qualitative analysis	análisis cualitativo
magnesium carbonate	E 504 (i)
RSL	lista de sustancias restringidas
co-extrusion	extrusión de varias capas
TDI	diisocianato de toluileno
hydrogen cyanide	cianuro de hidrógeno
cryo-condensation	condensación criogénica
multiple ion monitoring	registro selectivo de iones
saponin	saponina
benzene	benceno
MSn	espectrometría de masas de múltiples etapas
peak height	altura de pico
β-lactam ring	anillo betalactámico
packing material	material de relleno
garnet	granate
dioxin-like PCB	policlorobifenilos similares a las dioxinas
isopropyl alcohol	alcohol isopropilo
analytical tolerance	tolerancia analítica
MAH	anhídrido maleico
emissivity	emisividad
hydrophobic group	grupo hidrófobo
sodium hydroxide solution	hidrato de sodio
in-house validation	validación interna
hydrobromic acid	ácido bromhídrico
granite	granito
glycogen	glucógeno
extrusion	moldeo por extrusión
ethyl benzene	etilbenceno
2-methyl-2-ethoxypropane	ETBE
emulsifiability	poder emulsionante
sodium sesquicarbonate	sesquicarbonato sódico
ionic bond	enlace iónico
chemical reduction	reducción
AEM	membrana de intecambio aniónico
chlorate	clorato
CAS Number	número de registro CAS
polychlorinated dibenzo-p-dioxins and dibenzofurans	PCDD/F
ferrous	férrea (aleación)
fermentation	fermentación
brominated flame retardant	material ignífugo bromado
amphoteric surfactant	tensioactivo anfotérico
control group	grupo de control
PDA	PDA
two-stage dust filter	filtro de polvo en dos etapas
HBFC	hidrobromofluorocarbono
leucite	silicato doble de aluminio y potasio
polybrominated diphenyl ether	difeniléter polibromado
oxidiser	oxidante
ultra-high-molecular-weight polyethylene	HPPE
microfloc particle	microflóculo
active substance starting material	material de partida
uncompetitive inhibition	inhibición acompetitiva
phenanthrene	fenantreno
dissociation constant	constante de disociación
humectant	humectante
fluidized-bed reactor	reactor con lecho fluidificado
glycosidic bond	enlace glicosídico
safe and sustainable-by-design	seguridad y sostenibilidad desde el diseño
internal standard	patrón interno
to dewater	eliminar el agua
DIA	DIA
drag-out	arrastre
on dry matter basis	en materia seca
matrix-matched standard	patrón similar a la matriz
anionic surfactant	tensoactivo aniónico
hydrate	hidrato
Respirometric Index	índice respirométrico
organophosphorus compound	compuesto organofosforado
prop-2-enenitrile	2-propenonitrilo
neutralisation	neutralización
reference electrode	electrodo de referencia
chemical biology	biología química
polypropylene glycol	polipropilenglicol
paraffin wax	cera de parafina
aggregate sample	muestra global
rare earth metals	elemento de tierra rara
blending	mezclado
spent air	aire agotado
isobar	isobaro
bicarbonate of soda	carbonato ácido de sodio
allosteric site	sitio alostérico
liquid chromatography-tandem mass spectrometry	cromatografía de líquidos acoplada a espectrografía de masas en tándem
ordinary portland cement	cemento de Pórtland
reflux	reflujo
monosaccharide	monosacáridos
dehydrogenation	deshidrogenación
partial polyglycerol esters of polycondensed fatty acids of castor oil	E 498
short chain chlorinated paraffin	parafina clorada de cadena corta
affinity chromatography	cromatografía de afinidad
coenzyme A	coenzima A
absorbance unit	unidad de absorbancia
floccule	floculación
Horwitz ratio	HorRat
urea	urea
carbon monoxide	protóxido de carbono
emery	esmeril
telomerisation	telomerización
chlor-alkali	cloruro alcalino
alloy	aleación
chemical ionization	CI
retort carbon	carbón de retorta
LCL	nivel mínimo calibrado
bubbling	gasificación
sand filtration	filtración de arena
phase boundary	límite de fase
reaction product	producto de reacción
thermal desorption	desorción térmica
hydro(chloro)fluoroolefin	hidroclorofluoroolefina
monomer	monómero
trimethyl phosphite	fosfito de trimetilo
azocolourant	colorante azoico
